,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
50,0045_0039,47.06945934444444,85.56562087777779,106.88888888888889,,391092.71179062076,5213881.150938365,45,39,167,2013-01-01,RGI60-10.00604,3290.7402,3290.9949,0.12640269,3.4589653,0.28415573,204.0,2685388.0,317431170.0,352315260.0,115.13336,117.72391,41.83052,,-1.552857,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
51,0045_0040,47.0691533125,85.5655498625,110.75,,391086.6964146418,5213847.241915381,45,40,167,2013-01-01,RGI60-10.00604,3294.9185,3295.1177,0.12423838,3.4949949,0.2719179,204.0,2670360.0,327358530.0,363277380.0,113.94925,120.19337,46.453796,,-1.4729778,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
52,0045_0041,47.0688602125,85.565481,112.875,,391080.87078056624,5213814.766967812,45,41,167,2013-01-01,RGI60-10.00604,3299.1611,3299.1748,0.12120558,3.5472062,0.24333437,204.0,2656488.0,336359360.0,373208130.0,113.45514,120.6502,49.660748,,-1.3930984,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
53,0045_0042,47.06856455,85.565411125,113.125,,391074.9629951421,5213782.008677707,45,42,167,2013-01-01,RGI60-10.00604,3303.281,3303.1562,0.117635965,3.6114028,0.20209043,204.0,2641460.0,345933660.0,383762780.0,114.632286,119.50389,50.34999,,-1.3356832,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
54,0046_0032,47.071572,85.56613653333334,73.0,,391136.1658177466,5214115.202718713,46,32,167,2013-01-01,RGI60-10.00604,3259.6448,3258.8079,0.15896861,3.0144854,0.29844955,183.0956,2788272.0,243991070.0,271020580.0,98.19408,88.47699,10.809116,,-1.6796718,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
55,0046_0033,47.0713151875,85.56604195,77.125,,391128.46175418247,5214086.795969323,46,33,167,2013-01-01,RGI60-10.00604,3265.0964,3263.8672,0.14821868,3.143824,0.26885656,198.25237,2777868.0,251875000.0,279759700.0,101.27455,89.385315,11.405783,,-1.6717907,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
56,0046_0034,47.07100166666666,85.5659568111111,81.66666666666667,,391121.3591684529,5214052.074355958,46,34,167,2013-01-01,RGI60-10.00604,3269.4966,3268.5964,0.13839333,3.275902,0.24731685,204.0,2760528.0,264754560.0,294030600.0,101.03875,91.74177,12.873117,,-1.661062,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
57,0046_0035,47.0706852875,85.565922075,87.625,,391118.0774446395,5214016.964972279,46,35,167,2013-01-01,RGI60-10.00604,3273.687,3273.0503,0.13133816,3.3803792,0.23603338,204.0,2747812.0,274021630.0,304294600.0,99.41924,91.51811,13.133429,,-1.6503333,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
58,0046_0036,47.07037767777778,85.56588212222222,92.0,,391114.41748450155,5213982.837358993,46,36,167,2013-01-01,RGI60-10.00604,3277.6228,3277.33,0.12750313,3.4410224,0.23373021,204.0,2730472.0,286412580.0,318012030.0,100.567375,93.36284,14.872251,,-1.6275698,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
59,0046_0037,47.0701346,85.56581144285714,95.0,,391108.55605244136,5213955.92364373,46,37,167,2013-01-01,RGI60-10.00604,3281.622,3281.5308,0.12611389,3.4637158,0.23451845,204.0,2717756.0,295342460.0,327893660.0,104.21702,97.71577,18.359232,,-1.5912677,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
