,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,itslive_v,hugonnet_dhdt,millan_v,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
21,0016_0044,49.74927595,-117.14856474999999,30.75,3.0,489297.53219879477,5510765.252517277,16,44,258,2017-04-16,RGI60-02.00147,2674.9216,2679.1343,0.12538782,3.4757361,0.6545615,64.84597,417136.0,162312420.0,217850690.0,39.247173,,1.0271271,-0.78343064,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
22,0016_0046,49.74872955,-117.1485215,30.0,3.0,489300.5277066908,5510704.497779483,16,46,258,2017-04-16,RGI60-02.00147,2684.0632,2686.8044,0.16904016,2.905401,0.3981492,87.0,367517.0,147235250.0,196948670.0,40.837906,,1.1230298,-0.529081,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
23,0016_0047,49.7485184,-117.14838433333334,29.0,3.0,489310.3627749162,5510681.00265291,16,47,258,2017-04-16,RGI60-02.00147,2689.5469,2691.6604,0.18347995,2.765966,0.39204812,87.0,327990.0,134460580.0,179353650.0,40.544567,,1.1653538,-0.48937678,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
24,0016_0048,49.74832515,-117.1482565,30.5,3.0,489319.5294768748,5510659.498988093,16,48,258,2017-04-16,RGI60-02.00147,2695.4255,2696.7507,0.1883302,2.7230024,0.43615615,87.0,297714.0,124175880.0,165273680.0,40.033707,,1.2039262,-0.48220545,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
25,0017_0035,49.751536650000006,-117.14787749999999,26.0,3.0,489347.53615721845,5511016.49871278,17,35,258,2017-04-16,RGI60-02.00147,2654.2095,2656.269,0.19619054,2.6570098,0.9870055,156.16978,583654.0,205676750.0,278915620.0,46.959644,,0.71966916,-0.39373738,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
26,0017_0036,49.751401475,-117.14809575,20.5,2.0,489331.7847094508,5511001.500990778,17,36,258,2017-04-16,RGI60-02.00147,2657.3394,2659.521,0.19243321,2.688017,0.9663816,129.69194,562629.0,200835900.0,272009540.0,47.75641,,0.62695247,-0.3688541,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
27,0017_0037,49.751169825000005,-117.148109,13.75,1.25,489330.77942915953,5510975.748090741,17,37,258,2017-04-16,RGI60-02.00147,2662.2222,2662.6912,0.18513496,2.7511036,0.98758125,104.56099,541604.0,195811950.0,264870750.0,48.11509,,0.67977744,-0.46169642,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
28,0017_0039,49.7504889,-117.147826,18.0,2.0,489351.0166065289,5510900.002862838,17,39,258,2017-04-16,RGI60-02.00147,2668.215,2667.7563,0.15716101,3.0352404,1.1253961,64.84597,505441.0,186718480.0,252016620.0,45.529797,,0.7944306,-0.64738095,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
29,0017_0040,49.75032225,-117.14799433333333,17.0,2.0,489338.853797708,5510881.498661844,17,40,258,2017-04-16,RGI60-02.00147,2667.0874,2669.4626,0.13859011,3.2731104,1.1738138,41.01219,492826.0,183420180.0,247372380.0,44.716805,,0.854452,-0.7496715,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
30,0017_0041,49.7500567,-117.1481548,21.2,2.0,489327.2359200298,5510851.997692304,17,41,258,2017-04-16,RGI60-02.00147,2667.3252,2670.8843,0.11982567,3.5716598,1.1301965,29.0,480211.0,180061170.0,242651860.0,44.157677,,0.9026992,-0.85762006,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
