,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
20,0030_0029,-16.301995,-68.109605,22.0,,595123.6011940863,8197451.664634909,30,29,130,2012-08-07,RGI60-16.00532,5024.051,5029.7856,0.49131727,1.531732,3.6153653,127.738014,538020.0,47013450.0,189956700.0,32.06121,34.17415,6.1033087,-1.644222,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
21,0030_0030,-16.302021333333332,-68.1095115,22.5,,595133.5780543333,8197448.707824617,30,30,130,2012-08-07,RGI60-16.00532,5011.641,5020.2544,0.45543242,1.6030447,3.6812143,132.81566,553014.0,41892676.0,168809540.0,32.907333,35.647724,6.404048,-1.682828,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
22,0030_0031,-16.302366,-68.10958,17.0,,595126.0931426228,8197410.609665168,30,31,130,2012-08-07,RGI60-16.00532,5002.416,5012.138,0.4044152,1.7214861,3.7730172,140.87228,569772.0,35721656.0,143499140.0,34.061245,36.501408,6.5773306,-1.7214339,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
23,0030_0032,-16.302498181818184,-68.10949059090909,15.863636363636363,,595135.581817275,8197395.944859466,30,32,130,2012-08-07,RGI60-16.00532,4996.794,5005.744,0.34671265,1.8880705,3.906467,127.738014,582561.0,30743954.0,123187730.0,35.181377,36.967552,6.7236705,-1.7397473,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
24,0031_0026,-16.301322666666668,-68.10931266666667,16.0,,595155.1587672957,8197525.907846589,31,26,130,2012-08-07,RGI60-16.00532,5070.276,5065.454,0.45873594,1.5961082,3.523415,132.81566,484218.0,61779988.0,252069020.0,30.993631,27.291914,3.6941226,-1.2976838,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
25,0031_0030,-16.302059166666666,-68.10933333333334,22.333333333333332,,595152.5951734817,8197444.439305593,31,30,130,2012-08-07,RGI60-16.00532,5018.0625,5025.8423,0.46267447,1.5879421,3.7321036,152.88231,543753.0,45099776.0,182036980.0,34.465786,34.65275,5.76161,-1.6062934,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
26,0032_0026,-16.301368666666665,-68.109156,16.0,,595171.8749337337,8197520.745869074,32,26,130,2012-08-07,RGI60-16.00532,5073.9424,5069.4277,0.43600526,1.6455268,3.567167,152.88231,475839.0,63577000.0,259754580.0,31.917124,27.031523,2.9447143,-1.2153724,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
27,0032_0030,-16.302091,-68.10910242857143,17.857142857142858,,595177.2497366514,8197440.809948255,32,30,130,2012-08-07,RGI60-16.00532,5025.5215,5031.9185,0.46526864,1.582624,3.7769423,173.17044,532728.0,48720468.0,197044050.0,35.777256,31.2234,5.674847,-1.5297588,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
28,0033_0026,-16.301412,-68.10897299999999,13.0,,595191.4058511292,8197515.866606166,33,26,130,2012-08-07,RGI60-16.00532,5077.418,5073.5327,0.4133495,1.6990632,3.6100886,173.17044,468342.0,65083850.0,266217570.0,32.45447,26.771132,2.195306,-1.1330609,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
29,0033_0027,-16.301443499999998,-68.10889,13.0,,595200.2584118475,8197512.343082193,33,27,130,2012-08-07,RGI60-16.00532,5069.3696,5065.029,0.44431347,1.6269953,3.6494312,179.42407,485100.0,61585856.0,251239870.0,33.90789,26.25124,2.608848,-1.2250464,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
30,0033_0030,-16.30212,-68.10891914285715,13.571428571428571,,595196.8180289955,8197437.516224429,33,30,130,2012-08-07,RGI60-16.00532,5033.5693,5038.3555,0.46280858,1.587666,3.817422,187.82971,526113.0,50773750.0,205600600.0,37.431343,27.794052,5.588084,-1.4532243,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
31,0034_0027,-16.301501333333334,-68.108738,13.666666666666666,,595216.4702519876,8197505.874135337,34,27,130,2012-08-07,RGI60-16.00532,5074.262,5069.9326,0.4224661,1.6769685,3.6918721,199.2235,474516.0,63850668.0,260927100.0,34.6586,26.14183,2.1878438,-1.1740584,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
32,0034_0030,-16.302175,-68.10878550000001,13.0,,595211.0699008256,8197431.369291868,34,30,130,2012-08-07,RGI60-16.00532,5041.9062,5045.0273,0.45570123,1.6024773,3.8541813,193.61043,514647.0,54131116.0,219666510.0,38.602978,25.447495,4.314466,-1.4325293,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
33,0034_0031,-16.30227225,-68.108687,14.5,,595221.546680983,8197420.564674292,34,31,130,2012-08-07,RGI60-16.00532,5032.7,5037.624,0.4370699,1.6431206,3.9440417,173.17044,526995.0,50506904.0,204485760.0,39.632202,26.480806,4.6530886,-1.519269,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
34,0035_0021,-16.300330944444443,-68.10847949999999,23.833333333333332,,595244.6540864656,8197635.232358275,35,21,130,2012-08-07,RGI60-16.00532,5111.7065,5119.275,0.47009844,1.5728478,3.446042,134.4656,374850.0,76583180.0,316410850.0,25.412401,39.649605,3.7673051,-0.51303416,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
35,0035_0027,-16.301551333333332,-68.10852333333334,14.0,,595239.3812129877,8197500.242529682,35,27,130,2012-08-07,RGI60-16.00532,5078.5293,5074.902,0.40132597,1.7294246,3.7363808,219.24643,466578.0,65424336.0,267680140.0,35.249615,26.185204,1.8813155,-1.1327255,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
36,0035_0031,-16.30237,-68.108553,15.0,,595235.8160363695,8197409.68817174,35,31,130,2012-08-07,RGI60-16.00532,5041.202,5044.76,0.43272817,1.6529926,3.9692345,179.42407,515088.0,54007060.0,219145140.0,40.777946,24.028742,3.190128,-1.519694,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
37,0035_0032,-16.302401500000002,-68.108509,16.0,,595240.5017813444,8197406.182827441,35,32,130,2012-08-07,RGI60-16.00532,5033.584,5038.6865,0.41020307,1.7068708,4.069476,159.93123,525231.0,51038696.0,206708270.0,41.970707,24.76603,3.5577312,-1.5984266,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
38,0036_0021,-16.300394500000003,-68.1083885,25.9,,595254.3459287443,8197628.158810511,36,21,130,2012-08-07,RGI60-16.00532,5115.147,5122.6914,0.48524213,1.5432096,3.4782157,148.49243,365589.0,77076510.0,318650530.0,25.96912,43.890278,6.320305,-0.482283,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
39,0036_0022,-16.3005225,-68.1082995,27.25,,595263.7929375315,8197613.956773339,36,22,130,2012-08-07,RGI60-16.00532,5108.4697,5113.31,0.4134275,1.6988709,3.5213315,164.01524,386757.0,75777980.0,312800830.0,27.12062,51.027504,8.335771,-0.76185673,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
40,0036_0027,-16.301608,-68.10841,16.0,,595251.4624298185,8197493.920668136,36,27,130,2012-08-07,RGI60-16.00532,5082.257,5079.9194,0.38133258,1.7832723,3.7811737,239.43684,457758.0,67032456.0,274603140.0,35.543983,27.256636,1.7191892,-1.0913925,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
41,0036_0028,-16.3016655,-68.1082915,14.5,,595264.0952463557,8197487.504196701,36,28,130,2012-08-07,RGI60-16.00532,5074.748,5072.961,0.4073399,1.7140592,3.8143814,245.79869,469665.0,64824370.0,265103630.0,37.697334,25.002905,1.6805056,-1.190901,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
