Unnamed: 0,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp,RGI
760,0157_0036,61.380352,-148.03066275,319.5,35.0,444925.1274854173,6805588.732329994,157,36,250,2012-03-20,RGI60-01.10196,1809.8441,1810.5339,0.13225646,3.366277,5.801602,721.1102,195880000.0,440373280000.0,675689660000.0,196.74153,268.94543,1324.1079,1491.5857,-0.40104616,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
761,0158_0036,61.38002825,-148.027933125,332.75,35.0,445070.4124732269,6805550.372722113,158,36,250,2012-03-20,RGI60-01.10196,1822.3428,1825.4683,0.13280448,3.3579357,5.4202,894.4272,193080000.0,438050100000.0,669980560000.0,181.22641,262.8791,1323.9688,1465.6925,-0.43765986,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
762,0159_0036,61.3795795,-148.02430900000002,348.875,35.0,445263.27894168935,6805497.345694475,159,36,250,2012-03-20,RGI60-01.10196,1851.7583,1851.1342,0.15136696,3.1044261,5.037734,1077.033,188680000.0,434126650000.0,660613300000.0,166.86293,257.48755,1269.1135,1428.837,-0.40404075,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
763,0160_0036,61.379118,-148.020694875,383.5,35.0,445455.5945151319,6805442.917610692,160,36,250,2012-03-20,RGI60-01.10196,1884.9808,1883.281,0.16022474,3.0002832,4.863415,1264.911,182800000.0,428383670000.0,647366100000.0,170.65266,258.91046,1190.9225,1324.4852,-0.3797609,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
764,0161_0036,61.3788245,-148.01843250000002,407.5,35.0,445575.9752009125,6805408.338220788,161,36,250,2012-03-20,RGI60-01.10196,1916.7262,1915.0424,0.14310783,3.2107165,4.7947483,1442.2205,176480000.0,421619700000.0,632261000000.0,197.1878,271.562,1076.1942,1141.1877,-0.14938393,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
765,0161_0037,61.37856671428572,-148.01639657142854,411.8571428571428,35.0,445684.3200479703,6805377.930057769,161,37,250,2012-03-20,RGI60-01.10196,1919.8544,1915.9988,0.13696155,3.2964067,4.6795793,1341.6407,176200000.0,421305970000.0,631571100000.0,206.50473,280.08353,1011.3042,1079.3046,-0.25690258,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
901,0065_0052,61.7101375,-147.628601,303.5,35.0,466763.58006588696,6842050.408958876,65,52,250,2012-03-17,RGI60-01.10557,785.26886,805.811,0.16786689,2.917568,0.9038346,0.0,278840000.0,108401790000.0,112678300000.0,126.30314,152.16187,27.299208,106.61201,-0.7526435,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
902,0065_0053,61.709686,-147.629303,288.0,35.0,466725.9772639278,6842000.473966634,65,53,250,2012-03-17,RGI60-01.10557,820.9835,830.23315,0.18668999,2.7373314,0.99796903,200.0,336440000.0,160165815000.0,284001350000.0,535.9005,4.954507,34.905555,84.9076,-0.49235606,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
938,0070_0082,61.657221750000005,-147.609974,144.125,35.0,467693.19083839696,6836146.625222669,70,82,250,2012-03-17,RGI60-01.10557,934.5478,954.69855,0.16956186,2.900034,0.250186,0.0,262440000.0,160958800000.0,164790810000.0,134.76532,72.74218,34.905555,18.070906,-0.037566654,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1109,0083_0069,61.67997742857143,-147.56165857142858,220.8571428571429,35.0,470274.006936741,6838658.412130569,83,69,250,2012-03-17,RGI60-01.10557,915.209,929.87714,0.15974271,3.005712,4.683147,0.0,265120000.0,152921950000.0,156924540000.0,194.26138,182.86409,93.291405,81.784515,-0.5378244,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
